idx,image,gt_lat,gt_lon,pred_lat,pred_lon,err_m,time_s
0,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_05974_55.789527_37.629189_h120.jpg,55.78952662432286,37.6291890161888,55.723604,37.60004,7.55375585881357,24.9
1,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_06813_55.803066_37.614370_h0.jpg,55.80306647206344,37.61437007177116,55.723609,37.60004,8.880632855413262,23.0
2,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_01238_55.714538_37.550137_h0.jpg,55.71453806203061,37.55013731181802,55.723604,37.60004,3.283991730841424,23.7
3,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_00643_55.703882_37.689547_h120.jpg,55.70388189763585,37.68954727377939,55.723604,37.640002,3.8001057894491033,23.4
4,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_00346_55.699889_37.656144_h240.jpg,55.69988898770372,37.65614445735793,55.723604,37.600048,4.393406924616232,23.9
5,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_06601_55.800012_37.561330_h120.jpg,55.80001204351216,37.56132970315641,55.723609,37.600044,8.834141295824065,23.0
6,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_03124_55.744285_37.563262_h240.jpg,55.74428475732376,37.56326208000405,55.723604,37.600049,3.254606101706885,24.1
7,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_06226_55.793976_37.563312_h240.jpg,55.79397607253465,37.56331157110443,55.723604,37.600094,8.156419014061697,22.8
8,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_05826_55.786473_37.717362_h0.jpg,55.78647310893317,37.71736206167874,55.723604,37.600049,10.136813885458729,23.5
9,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_05282_55.778757_37.554762_h0.jpg,55.77875659736043,37.55476218083389,55.732609,37.650002,7.864143900228429,23.6
10,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_00435_55.701220_37.644589_h0.jpg,55.70121984716029,37.64458899749134,55.723604,37.600094,3.7368128950370023,22.9
11,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_05149_55.776082_37.675731_h120.jpg,55.7760822195667,37.67573139858145,55.723604,37.600094,7.5137706465111505,23.0
12,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_06846_55.803205_37.687227_h240.jpg,55.80320494888874,37.68722720437505,55.723604,37.600092,10.395143175595134,24.2
13,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_05761_55.786354_37.574050_h240.jpg,55.7863542289657,37.57405017498838,55.723604,37.600098,7.165343826405203,24.4
14,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_04295_55.762627_37.657987_h0.jpg,55.76262749220706,37.65798726403665,55.736209,37.600044,4.666783056057013,22.9
15,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_02701_55.737441_37.666677_h120.jpg,55.73744146827588,37.66667692807046,55.723604,37.600944,4.3939003890473725,23.8
16,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_04473_55.765803_37.636745_h120.jpg,55.76580301497629,37.63674455458978,55.732609,37.640004,3.6966383470528497,22.8
17,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_04748_55.770096_37.620607_h120.jpg,55.77009579561822,37.6206069108609,55.736209,37.60009,3.980758147656675,23.2
18,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_04905_55.773004_37.552391_h0.jpg,55.7730042494326,37.55239129547628,55.723604,37.600044,6.250416149299605,23.6
19,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_01749_55.722411_37.641361_h240.jpg,55.72241112205859,37.64136052936562,55.723604,37.590042,3.2165253698820964,22.8
20,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_01342_55.716107_37.572374_h0.jpg,55.71610717588377,37.57237438946667,55.723604,37.60004,1.922780717184086,24.0
21,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_05327_55.778929_37.653330_h120.jpg,55.77892919118965,37.65332989901039,55.7236,37.60009,6.9965228004318325,22.8
22,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_05165_55.775882_37.710640_h240.jpg,55.7758821960056,37.71064006538879,55.723604,37.600094,9.036168298759867,23.7
23,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_03157_55.744501_37.635895_h240.jpg,55.74450096558195,37.63589495401025,55.7362,37.60004,2.426785474107182,23.2
24,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_02105_55.727977_37.596545_h240.jpg,55.72797696697781,37.5965447108841,55.732609,37.600904,0.5829109987006037,23.7
25,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_04097_55.759715_37.635749_h240.jpg,55.7597150733536,37.63574903324394,55.736209,37.600044,3.4387566164846173,24.3
26,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_04332_55.763953_37.532780_h120.jpg,55.76395299007854,37.53277955155875,55.723604,37.600042,6.152553890848801,23.5
27,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_05298_55.779097_37.589573_h0.jpg,55.77909693559926,37.58957291909348,55.723604,37.600044,6.205227874268419,23.4
28,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_00738_55.705496_37.690870_h0.jpg,55.70549614417727,37.69087035306263,55.723604,37.600044,6.034970560361938,23.5
29,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_04376_55.764001_37.629437_h120.jpg,55.76400119272635,37.62943673845259,55.736209,37.600044,3.596351865187027,23.6
30,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_01091_55.711535_37.640731_h0.jpg,55.71153482156726,37.64073064242731,55.723604,37.60004,2.8803309890436704,24.8
31,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_03141_55.744460_37.600868_h0.jpg,55.74446000168176,37.6008678251938,55.736209,37.590048,1.1403787425628935,23.9
32,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_06014_55.788835_37.717005_h0.jpg,55.78883538489124,37.71700542150132,55.723604,37.650092,8.375049309276907,22.6
33,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_04007_55.758087_37.644901_h240.jpg,55.75808697753667,37.64490124195581,55.736209,37.600048,3.7146089980332335,22.9
34,C:\Users\q\Work\dipl\ttk_10k_full\images\ttk_02047_55.726561_37.675583_h120.jpg,55.72656064417453,37.67558261526816,55.723609,37.64009,2.246686031647856,22.5
