loc_id,fname,gt_lat,gt_lon,pred_lat,pred_lon,dist_m,latency_ms,vram_gb,parsed,complexity,response
3732,ttk_03732_55.753809_37.659958_h0.jpg,55.753809,37.659958,,,20037000.0,8020.865400001639,1.23590087890625,False,7.661185375028591, 3.
6958,ttk_06958_55.806001_37.519255_h0.jpg,55.806001,37.519255,,,20037000.0,7736.960599984741,1.23590087890625,False,7.642268682952957, 3.
4016,ttk_04016_55.757893_37.664525_h0.jpg,55.757893,37.664525,35.3262,150.2152,8053350.230223678,8407.160400005523,1.23590087890625,True,7.243893359057319, 35.3262 150.2152
2214,ttk_02214_55.729263_37.629496_h0.jpg,55.729263,37.629496,,,20037000.0,7723.668100021314,1.23590087890625,False,7.336923485259528, 3.
4569,ttk_04569_55.767004_37.640730_h0.jpg,55.767004,37.64073,,,20037000.0,7724.922499997774,1.23590087890625,False,7.178952328777184, 3.
6417,ttk_06417_55.796917_37.569950_h0.jpg,55.796917,37.56995,,,20037000.0,7695.750099985162,1.23590087890625,False,7.506997578692857, 3.
6867,ttk_06867_55.804526_37.526117_h0.jpg,55.804526,37.526117,,,20037000.0,7721.987400000216,1.23590087890625,False,7.561028598271489, 3.
6230,ttk_06230_55.793984_37.572201_h0.jpg,55.793984,37.572201,,,20037000.0,7730.687300005229,1.23590087890625,False,7.488083570278347, 3.
5161,ttk_05161_55.776197_37.701541_h0.jpg,55.776197,37.701541,3.75,4.25,6506118.743959207,9181.830500019714,1.23590087890625,True,7.527200899503925," LANDMARKS: 4, 10
LATITUDE: 3.75
LONGITUDE: 4.25"
6679,ttk_06679_55.801756_37.526135_h0.jpg,55.801756,37.526135,,,20037000.0,7699.445000005653,1.23590087890625,False,7.121589096795647, 3.
4663,ttk_04663_55.768440_37.640589_h0.jpg,55.76844,37.640589,47.02,152.02,7058329.154506099,12434.254299994793,1.23590087890625,True,7.399828692251123, 47.0200 152.0200 47.0200 152.0200 47.0200 152.0200 47.0200 152.0200 47.0200 47.0200 47.0200 47.0200
2215,ttk_02215_55.729552_37.631544_h0.jpg,55.729552,37.631544,,,20037000.0,8315.686100017047,1.23590087890625,False,7.256829768559278," 3.0, 45.0, 55.0"
5725,ttk_05725_55.784893_37.702434_h0.jpg,55.784893,37.702434,,,20037000.0,7672.672299988335,1.23590087890625,False,7.221114635224968, 3.
2400,ttk_02400_55.732450_37.625464_h0.jpg,55.73245,37.625464,,,20037000.0,7966.273300000466,1.23590087890625,False,7.045657741744634," 3.0, 4.0"
2398,ttk_02398_55.732387_37.620657_h0.jpg,55.732387,37.620657,,,20037000.0,7662.447999988217,1.23590087890625,False,7.399584031894203, 3.
